ClientName,StarID
OJKJPCF Inc.,11268647
RLVLCMKGX Inc.,488256
DYAIFGP Inc.,11207379
UJGNA Inc.,11281372
QTJFMQAT Inc.,11236780
WAXPML Inc.,11295430
IAZJHAQC Inc.,11228330
LBAAQGB Inc.,11235267
NDEBLHGN Inc.,107106
MXLPVAT Inc.,11282690
BGKFHM Inc.,11266499
IRYNADEGDU Inc.,11260794
LOLTYYNVQL Inc.,11213298
KLPVLTNJBL Inc.,11221878
MSEWELBKD Inc.,11264630
XZREJPI Inc.,11264431
VNZYGYBX Inc.,11284577
FCCFGEGIM Inc.,11244396
SCVPF Inc.,11275891
DMXORW Inc.,402470
NVEGKWVZ Inc.,731785
OCGMNUPSFJ Inc.,11228960
OXYJSLBIF Inc.,371846
MORXUSIIP Inc.,11294326
IKUPOBMLG Inc.,11246609
VZKFBYR Inc.,11223885
PTSNTURMQZ Inc.,11280593
YQYXL Inc.,11236707
YIDKU Inc.,11286246
BNFZYYLC Inc.,11205984
ZODZAZO Inc.,11286013
DAONDSF Inc.,11252156
CWABW Inc.,496824
NLPSLKXEI Inc.,11286123
MYAFXR Inc.,11250584
VNOLEGODP Inc.,11298370
ELOEICCR Inc.,629037
OHWES Inc.,11232025
LBMOP Inc.,11221905
GHCOO Inc.,11289190
XGFZUC Inc.,317927
QXKYEW Inc.,11224377
GVVYPTP Inc.,11217279
XAMPKU Inc.,11244904
PGPBN Inc.,959040
CPAYTAPKS Inc.,11288619
IQTGYJVU Inc.,11299005
KOAXDZ Inc.,11256544
IQBPV Inc.,11244959
HITGKBK Inc.,11264834
FTQNDWXS Inc.,11281949
BLQSRZUD Inc.,11209602
DCGOXNSLI Inc.,11291626
CVUJOPLKMS Inc.,374891
GBJCRE Inc.,11264832
RVZEXBANA Inc.,11230057
VIIZLAQCY Inc.,11257970
OHVELJ Inc.,11218499
TXCSVWSL Inc.,11293938
XECMNDVLPB Inc.,199136
HYZVZBCYQQ Inc.,11288841
OAOJQ Inc.,11266294
DBDYOYP Inc.,11297833
YBDSNEQJF Inc.,11217749
